LookupType_ID	LookupType_Title_Fa	Lookup_ID	Lookup_Title_Fa	LookupCode
341	دلیل خرید از هوایار	2724	کیفیت	
341	دلیل خرید از هوایار	2725	پیشنهاد سایرین	
341	دلیل خرید از هوایار	2726	شرایط پرداخت	
341	دلیل خرید از هوایار	2727	تجربه خرید قبلی	
341	دلیل خرید از هوایار	2728	برخورد مناسب همکاران فروش	
341	دلیل خرید از هوایار	2729	نبودن گزینه جایگزین	
341	دلیل خرید از هوایار	2730	شرایط گارانتی	
341	دلیل خرید از هوایار	2731	برند	
341	دلیل خرید از هوایار	2732	موقعیت جغرافیایی	
341	دلیل خرید از هوایار	2733	خدمات پس از فروش	
341	دلیل خرید از هوایار	2734	آموزش	
341	دلیل خرید از هوایار	2735	سایر	
364	پکت های مانیتورینگ	2967	General_Info_Request	1
364	پکت های مانیتورینگ	2968	General_Info_Response	2
364	پکت های مانیتورینگ	2969	Location_Request	3
364	پکت های مانیتورینگ	2970	Location_Response	4
364	پکت های مانیتورینگ	2971	Connection_Check_Request	5
364	پکت های مانیتورینگ	2972	Connection_Check_Response	6
364	پکت های مانیتورینگ	2973	Status_Request	51
364	پکت های مانیتورینگ	2974	Status_Response	52
364	پکت های مانیتورینگ	2975	Event_Log_Request	53
364	پکت های مانیتورینگ	2976	Event_Log_Response	54
364	پکت های مانیتورینگ	2977	Alarm_Log_Request	55
364	پکت های مانیتورینگ	2978	Alarm_Log_Response	56
364	پکت های مانیتورینگ	2979	Param_Read_Request	57
364	پکت های مانیتورینگ	2980	Param_Read_Response	58
364	پکت های مانیتورینگ	2981	Param_Write_Request	59
364	پکت های مانیتورینگ	2982	Param_Write_Response	60
364	پکت های مانیتورینگ	2983	Command_Request	61
364	پکت های مانیتورینگ	2984	Command_Response	62
364	پکت های مانیتورینگ	2985	Heart_Beat_Request	63
364	پکت های مانیتورینگ	2986	Heart_Beat_Response	64
364	پکت های مانیتورینگ	2987	Login_Request	101
364	پکت های مانیتورینگ	2988	Login_Response	102
368	نفت و گاز - گزارش کار پیوست - وضعیت پروژه 	3039	شروع نشده	1
368	نفت و گاز - گزارش کار پیوست - وضعیت پروژه 	3040	در حال انجام	2
368	نفت و گاز - گزارش کار پیوست - وضعیت پروژه 	3041	تکمیل شده	3
368	نفت و گاز - گزارش کار پیوست - وضعیت پروژه 	3042	متوقف شده	4
368	نفت و گاز - گزارش کار پیوست - وضعیت پروژه 	3043	لغو شده	5
369	نفت و گاز - گزارش کار - نوع خدمت	3044	OPI	0
369	نفت و گاز - گزارش کار - نوع خدمت	3045	نظارت بر نصب	1
369	نفت و گاز - گزارش کار - نوع خدمت	3046	راه اندازی	2
369	نفت و گاز - گزارش کار - نوع خدمت	3047	بازرسی کارشناس فنی	3
369	نفت و گاز - گزارش کار - نوع خدمت	3048	جلسه	4
369	نفت و گاز - گزارش کار - نوع خدمت	3049	سایر	5
371	نفت و گاز نوع پیوست مدارک	3052	هزینه ها	1
371	نفت و گاز نوع پیوست مدارک	3053	گزارش روزانه	2
371	نفت و گاز نوع پیوست مدارک	3054	تجهیزات	3
371	نفت و گاز نوع پیوست مدارک	3055	سایر	4
