Id	Title	Code	ProductTypeId
254	تعویض قاب کناری   Electro Motor	Y031822C	
255	تعویض قاب کناری تابلو برق 	Y031832C	
256	تعویض قاب ورودی هوا 	Y031842C	
257	تعویض قاب صداگیر 	Y031852C	
258	تعویض نگهدارنده مخزن 	Y031862C	
259	دمونتاژ ایراند	Y041012C	
260	مونتاژ ایراند	Y041022C	
261	دمونتاژ آنلودر	Y041032C	
262	مونتاژ آنلودر	Y041042C	
263	تعویض فیلتر هوا	Y041052C	
264	تعویض فیلتر روغن	Y041062C	
265	تعویض فیلتر سپراتور 	Y041072C	
266	تعویض روغن	Y041082C	
267	تعویض کیت اویل استاپ ولو	Y041092C	
268	تعویض ترموستاتیک ولو	Y041102C	
269	تعویض کیت مینیمم پرشرولو	Y041112C	
270	تعویض کیت آنلودر	Y041122C	
271	تعویض تسمه ها	Y041132C	
272	دمونتاژ الکتروموتور	Y041142C	
273	مونتاژ الکتروموتور	Y041152C	
274	تعویض پولی ایراند	Y041162C	
275	تعویض پولی الکتروموتور	Y041172C	
276	دمونتاژ مینیمم پرشرولو	Y041182C	
277	مونتاژ مینیمم پرشرولو	Y041192C	
278	تعویض سوپاپ اطمینان	Y041202C	
279	مونتاژ رادیاتور	Y041212C	
280	دمونتاژ رادیاتور	Y041222C	
281	مونتاژ شاسی متحرک	Y041232C	
282	دمونتاژ شاسی متحرک	Y041242C	
283	مونتاژ/تعویض فن خنک کننده	Y041252C	
284	دمونتاژ فن خنک کننده	Y041262C	
285	تعویض کنتاکتور	Y041272C	
286	تعویض بی متال	Y041282C	
287	تعویض کنترل فاز	Y041292C	
288	تعویض کلید حرارتی	Y041302C	
289	تعویض کلید ON-Off	Y041312C	
290	تعویض emergency stop	Y041322C	
291	تعویض برد کنترلی	Y041332C	
292	تعویض سنسور دما	Y041342C	
293	نعویض سنسور فشار	Y041352C	
294	تعویض شیر یکطرفه ساکشن	Y041362C	
295	تنظیم لوله ساکشن	Y041372C	
296	تعویض شلنگ هوا-روغن	Y041382C	
297	تعویض شلنگ از مینیمم به رادیاتور	Y041392C	
298	تعویض شلنگ از مخزن سپراتور به پایه فیلتر	Y041402C	
299	تعویض شلنگ از پایه فیلتر به ایراند	Y041412C	
300	تعویض شلنگ - لوله از پایه فیلتر به رادیاتور(رفت)	Y041422C	
301	تعویض شلنگ - لوله از پایه فیلتر به رادیاتور(برگشت)	Y041432C	
302	تعویض شلنگ های پنوماتیک 	Y041442C	
303	شستشوی رادیاتور	Y041452C	
304	شستشوی کمپرسور	Y041462C	
305	تعویض فوم ها و غبارگیر	Y041472C	
306	تعویض قفل کابینت(هرعدد)	Y041482C	
307	تعویض کابل قدرت 	Y041492C	
308	تعویض بلبرینگ های الکتروموتور	Y041502C	
309	تعویض بلبرینگ های الکتروموتور فن	Y041512C	
310	تعویض پروانه فن	Y041522C	
311	تعویض توری غبارگیر	Y041532C	
312	تعویض sight glass	Y041542C	
313	شستشوی مخزن سپراتور	Y041552C	
314	تعویض شلنگ تخلیه روغن	Y041562C	
315	تعویض شیر تخلیه روغن مخزن سپراتور	Y041572C	
316	تعویض لرزه گیر	Y041582C	
317	تنظیم پولی ها	Y041592C	
318	TEST RUN	Y041602C	
319	تعویض گیج مخزن سپراتور	Y041612C	
320	زنگ زدایی، لکه گیری و نقاشی	Y041622C	
321	تعویض چک ولو زیر ایراند	Y041632C	
322	تعویض واشر آببندی آنلودر	Y041642C	
323	تعویض واشر آببندی چک ولو زیر ایراند	Y041652C	
324	تعویض کابینت تابلو برق 	Y041662C	
325	تعویض درب تابلو برق  	Y041672C	
326	تعویض صفحه بالائی تابلو برق 	Y041682C	
327	تعویض صفحه پایینی تابلو برق 	Y041692C	
328	تعویض درب کابینت هر کدام	Y041702C	
329	تعویض پنل کابینت هر کدام	Y041712C	
330	تعویض ساپورت زیر  Electro Motor  هوایاری	Y041722C	
331	تعویض رابط ساپورت راست Electro Motor	Y041732C	
332	تعویض رابط ساپورت چپ Electro Motor 	Y041742C	
333	تعویض ساپورت نگهدارنده سقف کمپرسور	Y041752C	
334	تعویض پایه فن 	Y041762C	
335	تعویض پایه خرک 	Y041772C	
336	تعویض صفحه نگهدارنده قاب فن	Y041782C	
337	تعویض صفحه روی خرک 	Y041792C	
338	تعویض قاب رادیاتور 	Y041802C	
339	تعویض قاب تسمه 	Y041812C	
340	تعویض قاب کناری   Electro Motor	Y041822C	
341	تعویض قاب کناری تابلو برق 	Y041832C	
342	تعویض قاب ورودی هوا 	Y041842C	
343	تعویض قاب صداگیر 	Y041852C	
344	تعویض نگهدارنده مخزن 	Y041862C	
345	دمونتاژ ایراند	Y051012C	
346	مونتاژ ایراند	Y051022C	
347	دمونتاژ آنلودر	Y051032C	
348	مونتاژ آنلودر	Y051042C	
349	تعویض فیلتر هوا	Y051052C	
350	تعویض فیلتر روغن	Y051062C	
351	تعویض فیلتر سپراتور 	Y051072C	
352	تعویض روغن	Y051082C	
353	تعویض کیت اویل استاپ ولو	Y051092C	
354	تعویض ترموستاتیک ولو	Y051102C	
355	تعویض کیت مینیمم پرشرولو	Y051112C	
356	تعویض کیت آنلودر	Y051122C	
357	تعویض تسمه ها	Y051132C	
358	دمونتاژ الکتروموتور	Y051142C	
359	مونتاژ الکتروموتور	Y051152C	
360	تعویض پولی ایراند	Y051162C	
361	تعویض پولی الکتروموتور	Y051172C	
362	دمونتاژ مینیمم پرشرولو	Y051182C	
363	مونتاژ مینیمم پرشرولو	Y051192C	
364	تعویض سوپاپ اطمینان	Y051202C	
365	مونتاژ رادیاتور	Y051212C	
366	دمونتاژ رادیاتور	Y051222C	
367	مونتاژ شاسی متحرک	Y051232C	
368	دمونتاژ شاسی متحرک	Y051242C	
369	مونتاژ/تعویض فن خنک کننده	Y051252C	
370	دمونتاژ فن خنک کننده	Y051262C	
371	تعویض کنتاکتور	Y051272C	
372	تعویض بی متال	Y051282C	
373	تعویض کنترل فاز	Y051292C	
374	تعویض کلید حرارتی	Y051302C	
375	تعویض کلید ON-Off	Y051312C	
376	تعویض emergency stop	Y051322C	
377	تعویض برد کنترلی	Y051332C	
378	تعویض سنسور دما	Y051342C	
